pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"((\+44\s?\(0\)\s?\d{2,4})|(\+44\s?(01|02|03|07|08)\d{2,3})|(\+44\s?(1|2|3|7|8)\d{2,3})|(\(\+44\)\s?\d{3,4})|(\(\d{5}\))|((01|02|03|07|08)\d{2,3})|(\d{5}))(\s|-|.)(((\d{3,4})(\s|-)(\d{3,4}))|((\d{6,7})))";./attacks-gadget/Assorted-between_06_1.txt;0.03;0.21;0.17;1.79;99.58;12.51;0.1;0.25;13.88;1.85;21.01;13.07;16.58;2.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"([A-Za-z]{0,}[\.\,\s]{0,}[A-Za-z]{1,}[\.\s]{1,}[0-9]{1,2}[\,\s]{0,}[0-9]{4})| ([0-9]{0,4}[-,\s]{0,}[A-Za-z]{3,9}[-,\s]{0,}[0-9]{1,2}[-,\s]{0,}[A-Za-z]{0,8})| ([0-9]{1,4}[\/\.\-][0-9]{1,4}[\/\.\-][0-9]{1,4})";./attacks-gadget/internetSources-between_06_1.txt;7.13;0.21;0.14;1.46;36.75;3.24;0.0;0.25;6.19;0.58;18.28;10.18;12.48;2.42;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;41.200084
"(\d{1}-\d{2}\s*)(of +)(\s?\d{5})|(\d{1}-\d{2}\s*)(of +)(\s?\d{4})|(\d{1}-\d{2}\s*)(of +)(\s?\d{3})|(\d{1}-\d{2}\s*)(of +)(\s?\d{2})|(\d{1}-\d{2}\s*)(of +)(\s?\d{1})";./attacks-gadget/Assorted-between_21_1.txt;0.01;0.91;0.17;1.81;58.76;3.99;0.09;0.26;4.34;0.9;26.75;15.92;12.61;1.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"IT\d{2}[ ][a-zA-Z]\d{3}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{3}|IT\d{2}[a-zA-Z]\d{22}";./attacks-gadget/Assorted-between_24_1.txt;0.03;0.24;0.17;1.49;3.94;2.32;0.14;0.26;0.94;0.1;1.03;0.75;2.41;2.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43.35484
"[0](\d{9})|([0](\d{2})( |-)((\d{3}))( |-)(\d{4}))|[0](\d{2})( |-)(\d{7})";./attacks-gadget/Assorted-between_26_1.txt;0.17;0.05;0.27;2.0;19.22;2.32;0.42;0.23;3.04;0.38;8.85;3.83;2.64;1.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"\d{5,12}|\d{1,10}\.\d{1,10}\.\d{1,10}|\d{1,10}\.\d{1,10}";./attacks-gadget/Assorted-between_33_1.txt;0.08;0.11;0.34;1.87;22.55;3.3;0.1;0.28;3.8;0.3;8.92;4.71;3.26;1.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"((\+44\s?\(0\)\s?\d{2,4})|(\+44\s?(01|02|03|07|08)\d{2,3})|(\+44\s?(1|2|3|7|8)\d{2,3})|(\(\+44\)\s?\d{3,4})|(\(\d{5}\))|((01|02|03|07|08)\d{2,3})|(\d{5}))(\s|-|.)(((\d{3,4})(\s|-)(\d{3,4}))|((\d{6,7})))";./attacks-gadget/Assorted-between_06_1.txt;0.04;0.22;0.16;1.86;99.8;12.9;0.1;0.28;14.02;1.94;21.34;13.25;16.48;2.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"([A-Za-z]{0,}[\.\,\s]{0,}[A-Za-z]{1,}[\.\s]{1,}[0-9]{1,2}[\,\s]{0,}[0-9]{4})| ([0-9]{0,4}[-,\s]{0,}[A-Za-z]{3,9}[-,\s]{0,}[0-9]{1,2}[-,\s]{0,}[A-Za-z]{0,8})| ([0-9]{1,4}[\/\.\-][0-9]{1,4}[\/\.\-][0-9]{1,4})";./attacks-gadget/internetSources-between_06_1.txt;7.51;0.22;0.17;1.51;38.03;3.26;0.0;0.28;6.14;0.57;18.77;10.52;12.14;2.41;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;41.200084
"(\d{1}-\d{2}\s*)(of +)(\s?\d{5})|(\d{1}-\d{2}\s*)(of +)(\s?\d{4})|(\d{1}-\d{2}\s*)(of +)(\s?\d{3})|(\d{1}-\d{2}\s*)(of +)(\s?\d{2})|(\d{1}-\d{2}\s*)(of +)(\s?\d{1})";./attacks-gadget/Assorted-between_21_1.txt;0.03;0.89;0.2;1.88;48.59;4.15;0.09;0.28;4.37;0.78;25.7;15.93;13.78;1.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"IT\d{2}[ ][a-zA-Z]\d{3}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{3}|IT\d{2}[a-zA-Z]\d{22}";./attacks-gadget/Assorted-between_24_1.txt;0.04;0.25;0.18;1.48;3.55;2.36;0.14;0.27;0.98;0.1;1.01;0.72;2.46;1.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43.35484
"[0](\d{9})|([0](\d{2})( |-)((\d{3}))( |-)(\d{4}))|[0](\d{2})( |-)(\d{7})";./attacks-gadget/Assorted-between_26_1.txt;0.16;0.05;0.27;1.94;18.14;2.26;0.4;0.25;3.18;0.39;8.77;3.78;2.66;1.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"\d{5,12}|\d{1,10}\.\d{1,10}\.\d{1,10}|\d{1,10}\.\d{1,10}";./attacks-gadget/Assorted-between_33_1.txt;0.07;0.11;0.36;1.9;18.42;3.4;0.09;0.29;3.9;0.32;8.98;4.84;3.32;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"((DK|FI|HU|LU|MT|SI)(-)?\d{8})|((BE|EE|DE|EL|LT|PT)(-)?\d{9})|((PL|SK)(-)?\d{10})|((IT|LV)(-)?\d{11})|((LT|SE)(-)?\d{12})|(AT(-)?U\d{8})|(CY(-)?\d{8}[A-Z])|(CZ(-)?\d{8,10})|(FR(-)?[\dA-HJ-NP-Z]{2}\d{9})|(IE(-)?\d[A-Z\d]\d{5}[A-Z])|(NL(-)?\d{9}B\d{2})|(ES(-)?[A-Z\d]\d{7}[A-Z\d])";./attacks-gadget/internetSources-between_00_1.txt;0.06;0.31;0.27;1.36;63.87;5.58;0.16;0.26;9.65;1.33;21.56;24.57;18.9;1.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200068
"(([a-zA-Z]{3}[0-9]{3})|(\w{2}-\w{2}-\w{2})|([0-9]{2}-[a-zA-Z]{3}-[0-9]{1})|([0-9]{1}-[a-zA-Z]{3}-[0-9]{2})|([a-zA-Z]{1}-[0-9]{3}-[a-zA-Z]{2}))";./attacks-gadget/internetSources-between_01_1.txt;12.56;0.12;0.15;3.67;42.32;5.24;0.11;0.26;8.75;1.05;14.26;9.84;8.82;0.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.749152
"(02\d\s?\d{4}\s?\d{4})|(01\d{2}\s?\d{3}\s?\d{4})|(01\d{3}\s?\d{5,6})|(01\d{4}\s?\d{4,5})";./attacks-gadget/internetSources-between_03_1.txt;0.05;3.12;0.2;1.62;23.92;44.23;0.32;0.31;3.98;0.42;10.2;5.78;5.65;1.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200008
"([A-Za-z\d.]{2,31}) #accept ASCII alphanumeric and period";./attacks-gadget/internetSources-between_05_1.txt;0.05;0.03;0.21;1.14;6.21;1.22;0.02;0.3;0.08;0.2;0.03;1.73;2.72;1.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200032
"(\&quothttp:\/\/video\.google\.com\/googleplayer\.swf\?docId=\d{19}\&hl=[a-z]{2}\&quot)";./attacks-gadget/internetSources-between_07_1.txt;0.03;0.09;0.12;1.4;1.25;1.46;0.0;0.29;0.35;0.07;0.2;0.32;1.29;0.86;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;41.200164
"(\(0\d\d\)\s\d{3}[\s-]+\d{4})|(0\d\d[\s-]+\d{3}[\s-]+\d{4})|(0\d{9})|(\+\d\d\s?[\(\s]\d\d[\)\s]\s?\d{3}[\s-]?\d{4})";./attacks-gadget/internetSources-between_08_1.txt;0.04;0.67;0.31;1.11;7.9;1.25;0.08;0.28;1.01;0.23;7.66;3.59;3.39;0.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"(\d{2}\.\d{3}\.\d{3}\/\d{4}\-\d{2})|(\d{3}\.\d{3}\.\d{3}\-\d{2})";./attacks-gadget/internetSources-between_10_1.txt;0.05;0.03;0.15;1.76;30.56;3.97;0.0;0.29;5.31;0.5;8.76;4.96;4.29;0.98;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;41.200044
"(\d{6}[-\s]?\d{12})|(\d{4}[-\s]?\d{4}[-\s]?\d{4}[-\s]?\d{4})";./attacks-gadget/internetSources-between_11_1.txt;0.06;0.09;0.18;1.82;39.14;5.23;0.09;0.28;7.34;0.7;9.5;6.24;4.48;3.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200012
0{3,}|1{3,}|2{3,}|3{3,}|4{3,}|5{3,}|6{3,}|7{3,}|8{3,}|9{3,};./attacks-gadget/internetSources-between_12_1.txt;0.16;0.04;0.35;1.55;20.78;2.27;0.1;0.26;2.66;0.36;21.58;9.61;3.21;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"AD\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}|AD\d{22}";./attacks-gadget/internetSources-between_13_1.txt;0.17;0.04;0.17;1.38;5.66;1.41;0.37;0.28;1.12;0.14;3.36;0.92;1.23;2.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"CH\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{1}|CH\d{19}";./attacks-gadget/internetSources-between_14_1.txt;0.18;0.04;0.23;1.55;7.66;1.6;0.39;0.3;1.15;0.2;4.08;1.12;1.56;0.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"CZ\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}|CZ\d{22}";./attacks-gadget/internetSources-between_15_1.txt;0.17;0.04;0.23;1.55;7.05;1.6;0.1;0.26;1.16;0.19;4.21;1.11;1.48;0.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"DE\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{2}|DE\d{20}";./attacks-gadget/internetSources-between_16_1.txt;0.17;0.04;0.23;1.52;6.93;2.02;0.38;0.28;1.14;0.19;3.58;1.11;1.49;0.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"ES\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}|ES\d{22}";./attacks-gadget/internetSources-between_17_1.txt;0.18;0.04;0.21;1.53;7.25;1.6;0.1;0.26;1.16;0.19;4.05;1.12;1.47;0.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"PL\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}|PL\d{26}";./attacks-gadget/internetSources-between_19_1.txt;0.16;0.04;0.25;1.52;6.58;2.0;0.38;0.29;1.15;0.18;4.34;1.14;1.51;0.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"SE\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}|SE\d{22}";./attacks-gadget/internetSources-between_20_1.txt;0.16;0.04;0.21;1.53;7.12;2.14;0.39;0.28;1.19;0.2;3.65;1.14;1.51;0.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"SK\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}|SK\d{22}";./attacks-gadget/internetSources-between_21_1.txt;0.16;0.05;0.23;1.55;7.17;1.58;0.4;0.28;1.15;0.19;4.14;1.16;1.54;0.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"[0](\d{9})|([0](\d{2})( |-|)((\d{3}))( |-|)(\d{4}))|[0](\d{2})( |-|)(\d{7})|(\+|00|09)(\d{2}|\d{3})( |-|)(\d{2})( |-|)((\d{3}))( |-|)(\d{4})";./attacks-gadget/internetSources-between_23_1.txt;0.08;0.39;0.17;1.48;25.29;24.78;0.0;0.25;3.45;0.51;11.21;5.72;8.81;1.28;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;42.0
[a-f0-9]{8}-[a-f0-9]{4}-3[a-f0-9]{3}-[89ab][a-f0-9]{3}-[a-f0-9]{12};./attacks-gadget/internetSources-between_25_1.txt;7.79;0.24;0.14;1.36;13.68;0.52;0.09;0.27;0.93;0.15;0.72;2.52;2.74;2.4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;42.0
[a-f0-9]{8}-[a-f0-9]{4}-4[a-f0-9]{3}-[89ab][a-f0-9]{3}-[a-f0-9]{12};./attacks-gadget/internetSources-between_26_1.txt;8.64;0.25;0.14;1.43;14.04;0.5;0.09;0.32;0.96;0.17;0.74;2.52;2.9;2.41;0;0;0;0;0;1;0;0;0;0;0;0;0;0;42.0
"[a-zA-Z][a-zA-Z0-9_\-\,\.]{5,31}";./attacks-gadget/internetSources-between_27_1.txt;0.04;0.89;0.01;0.53;0.29;0.48;0.0;0.3;0.08;0.03;0.02;0.07;0.46;0.67;1;1;1;1;1;1;ERR;0;1;1;1;1;1;1;42.0
"[a-z]{1}[a-z0-9\-_\.]{2,24}@tlen\.pl";./attacks-gadget/internetSources-between_28_1.txt;0.03;0.04;ERR;1.44;73.66;2.73;0.01;0.28;0.1;2.12;0.02;6.96;15.05;8.38;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;41.390388
[du]{2}|[gu]{2}|[tu]{2}|[ds]{2}|[gs]{2}|[da]{2}|[ga]{2}|[ta]{2}|[dq]{2}|[gq]{2}|[tq]{2}|[DU]{2}|[GU]{2}|[TU]{2}|[DS]{2}|[GS]{2}|[DA]{2}|[GA]{2}|[TA]{2}|[DQ]{2}|[GQ]{2}|[TQ]{2};./attacks-gadget/internetSources-between_29_1.txt;0.16;0.05;0.35;1.49;52.5;6.44;0.1;0.3;9.4;0.8;36.4;26.67;7.44;0.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"\d{1,3}.?\d{0,3}\s[a-zA-Z]{2,30}\s[a-zA-Z]{2,15}";./attacks-gadget/internetSources-between_30_1.txt;0.03;0.12;0.14;1.75;27.45;2.71;0.09;0.27;3.47;0.34;4.74;5.81;7.76;1.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"\d{1,3}[.]\d{1,3}[.]\d{1,3}[.]\d{1,3}\s.\s.\s\[\d{2}\/\D{3}\/\d{4}:\d{1,2}:\d{1,2}:\d{1,2}\s.\d{4}\]\s\&quot\S*\s\S*\s\S*\&quot\s\d{1,3}\s\S*\s\&quot.*\&quot\s\&quot.*\&quot";./attacks-gadget/internetSources-between_31_1.txt;0.04;0.12;0.02;0.92;1.34;1.63;0.0;0.3;0.6;0.37;2.5;0.12;0.74;1.72;0;0;1;1;1;1;ERR;0;1;0;0;1;1;1;41.420912
"\d{4}-\d{4}-\d{2}|\d{5}-\d{3}-\d{2}|\d{5}-\d{4}-\d{1}|\d{5}-\*\d{3}-\d{2}";./attacks-gadget/internetSources-between_32_1.txt;0.06;0.07;0.18;1.86;49.17;6.95;0.09;0.26;9.38;0.88;12.31;8.39;8.37;5.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200016
"\w{5,255}";./attacks-gadget/internetSources-between_34_1.txt;0.03;0.85;0.02;2.45;0.29;0.97;0.02;0.3;0.09;0.03;0.02;0.07;0.46;0.78;1;1;1;1;1;1;ERR;0;1;1;1;1;1;1;42.0
"\{[a-fA-F0-9]{8}-[a-fA-F0-9]{4}-[a-fA-F0-9]{4}-[a-fA-F0-9]{4}-[a-fA-F0-9]{12}\}";./attacks-gadget/internetSources-between_35_1.txt;0.17;0.03;0.13;1.31;2.33;1.93;0.09;0.3;0.73;0.13;0.47;0.43;1.71;1.22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200092
"^((((0031)|(\+31))(\-)?6(\-)?[0-9]{8})|(06(\-)?[0-9]{8})|(((0031)|(\+31))(\-)?[1-9]{1}(([0-9](\-)?[0-9]{7})|([0-9]{2}(\-)?[0-9]{6})))|([0]{1}[1-9]{1}(([0-9](\-)?[0-9]{7})|([0-9]{2}(\-)?[0-9]{6}))))$";./attacks-gadget/internetSources-between_36_1.txt;0.07;0.03;0.01;0.51;0.26;0.57;0.0;0.27;0.39;0.02;0.03;0.57;0.44;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"^((((\u0022?[\u0022-\u0022]|[\u0022\u0022][\u0022-\u0022]|\u0022[\u0022\u0022])[\.\-\/](\u0022?[\u0022\u0022\u0022\u0022\u0022]|\u0022[\u0022\u0022])[\.\-\/]((\u0022[\u0022-\u0022]|[\u0022-\u0022][\u0022-\u0022])?[\u0022-\u0022]{2}))|((\u0022?[\u0022-\u0022]|[\u0022\u0022][\u0022-\u0022]|\u0022\u0022)[\.\-\/](\u0022?[\u0022\u0022\u0022\u0022\u0022\u0022\u0022\u0022]|\u0022[\u0022\u0022\u0022])[\.\-\/]((\u0022[\u0022-\u0022]|[\u0022-\u0022][\u0022-\u0022])?[\u0022-\u0022]{2}))|((\u0022?[\u0022-\u0022]|\u0022[\u0022-\u0022]|\u0022[\u0022-\u0022])[\.\-\/]\u0022?\u0022[\.\-\/]((\u0022[\u0022-\u0022]|[\u0022-\u0022][\u0022-\u0022])?[\u0022-\u0022]{2}))|(\u0022\u0022[\.\-\/]\u0022?\u0022[\.\-\/]((\u0022[\u0022-\u0022]|[\u0022-\u0022][\u0022-\u0022])?(\u0022[\u0022\u0022]|[\u0022\u0022\u0022\u0022][\u0022\u0022\u0022]|[\u0022\u0022\u0022\u0022\u0022][\u0022\u0022])|((\u0022\u0022|[\u0022\u0022\u0022\u0022][\u0022\u0022\u0022]|[\u0022\u0022\u0022\u0022][\u0022\u0022])\u0022\u0022)|\u0022\u0022)))|(((\u0022[\u0022-\u0022]|[\u0022\u0022][\u0022-\u0022]|\u0022[\u0022\u0022])(\u0022[\u0022\u0022\u0022\u0022\u0022]|\u0022[\u0022\u0022])((\u0022[\u0022-\u0022]|[\u0022-\u0022][\u0022-\u0022])?[\u0022-\u0022]{2}))|((\u0022[\u0022-\u0022]|[\u0022\u0022][\u0022-\u0022]|\u0022\u0022)(\u0022[\u0022\u0022\u0022\u0022\u0022\u0022\u0022\u0022]|\u0022[\u0022\u0022\u0022])((\u0022[\u0022-\u0022]|[\u0022-\u0022][\u0022-\u0022])?[\u0022-\u0022]{2}))|((\u0022[\u0022-\u0022]|\u0022[\u0022-\u0022]|\u0022[\u0022-\u0022])\u0022\u0022((\u0022[\u0022-\u0022]|[\u0022-\u0022][\u0022-\u0022])?[\u0022-\u0022]{2}))|(\u0022\u0022\u0022\u0022((\u0022[\u0022-\u0022]|[\u0022-\u0022][\u0022-\u0022])?(\u0022[\u0022\u0022]|[\u0022\u0022\u0022\u0022][\u0022\u0022\u0022]|[\u0022\u0022\u0022\u0022\u0022][\u0022\u0022])|((\u0022\u0022|[\u0022\u0022\u0022\u0022][\u0022\u0022\u0022]|[\u0022\u0022\u0022\u0022][\u0022\u0022])\u0022\u0022)|\u0022\u0022)))|(((0?[1-9]|[12]\d|3[01])[\.\-\/](0?[13578]|1[02])[\.\-\/]((1[6-9]|[2-9]\d)?\d{2}))|((0?[1-9]|[12]\d|30)[\.\-\/](0?[13456789]|1[012])[\.\-\/]((1[6-9]|[2-9]\d)?\d{2}))|((0?[1-9]|1\d|2[0-8])[\.\-\/]0?2[\.\-\/]((1[6-9]|[2-9]\d)?\d{2}))|(29[\.\-\/]0?2[\.\-\/]((1[6-9]|[2-9]\d)?(0[48]|[2468][048]|[13579][26])|((16|[2468][048]|[3579][26])00)|00)))|(((0[1-9]|[12]\d|3[01])(0[13578]|1[02])((1[6-9]|[2-9]\d)?\d{2}))|((0[1-9]|[12]\d|30)(0[13456789]|1[012])((1[6-9]|[2-9]\d)?\d{2}))|((0[1-9]|1\d|2[0-8])02((1[6-9]|[2-9]\d)?\d{2}))|(2902((1[6-9]|[2-9]\d)?(0[48]|[2468][048]|[13579][26])|((16|[2468][048]|[3579][26])00)|00))))$";./attacks-gadget/internetSources-between_37_1.txt;0.06;ERR;ERR;0.66;0.3;0.68;0.0;0.25;7.97;0.04;ERR;0.54;0.54;0.73;0;ERR;ERR;0;0;0;ERR;ERR;0;0;ERR;0;0;0;42.0
"^(((\+|00)?44|0)([123578]{1}))(((\d{1}\s?\d{4}|\d{2}\s?\d{3})\s?\d{4})|(\d{3}\s?\d{2,3}\s?\d{3})|(\d{4}\s?\d{4,5}))$";./attacks-gadget/internetSources-between_38_1.txt;0.03;0.03;0.03;0.62;0.32;11.74;0.0;0.27;2.35;0.03;0.03;0.6;0.47;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
^((02[0-9]{2})|(0[8-9][0-9]{2})|(1[0-9]{3})|(2[0-7][0-9]{2})|(28[0-8][0-9])|(289[0-8])|(29[0-9]{2})|([3-5][0-9]{3})|(6[0-6][0-9]{2})|(67[0-8][0-9])|(679[0-7])|(6[8-9][0-9]{2})|([7-9][0-9]{3}))$;./attacks-gadget/internetSources-between_39_1.txt;0.08;0.03;0.02;0.52;0.32;0.54;0.01;0.26;0.68;0.03;0.03;0.57;0.44;0.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"^((1[Zz]\d{16})|(\d{12})|([Tt]\d{10})|(\d{9}))$";./attacks-gadget/internetSources-between_40_1.txt;0.07;0.02;0.04;0.85;0.3;0.76;0.0;0.26;0.67;0.04;0.02;0.59;0.45;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"^((4(\d{12}|\d{15}))|(5\d{15})|(6011\d{12})|(3(4|7)\d{13}))$";./attacks-gadget/internetSources-between_41_1.txt;0.06;0.03;0.0;0.56;0.33;0.57;0.01;0.27;0.67;0.01;0.04;0.58;0.47;0.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"^((4\d{3})|(5[1-5]\d{2})|(6011))-?\d{4}-?\d{4}-?\d{4}|3[4,7]\d{13}$";./attacks-gadget/internetSources-between_42_1.txt;0.08;0.09;0.12;1.34;3.45;2.2;0.09;0.34;0.7;0.1;3.92;1.35;1.44;0.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"^((67\d{2})|(4\d{3})|(5[1-5]\d{2})|(6011))-?\s?\d{4}-?\s?\d{4}-?\s?\d{4}|3[4,7]\d{13}$";./attacks-gadget/internetSources-between_43_1.txt;0.03;0.09;0.14;1.36;4.16;2.36;0.1;0.27;0.68;0.1;4.4;1.38;1.42;0.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
^((NO)[0-9A-Z]{2}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{3}|(NO)[0-9A-Z]{15}|(BE)[0-9A-Z]{2}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}|(BE)[0-9A-Z]{16}|(DK|FO|FI|GL|NL)[0-9A-Z]{2}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{2}|(DK|FO|FI|GL|NL)[0-9A-Z]{18}|(MK|SI)[0-9A-Z]{2}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{3}|(MK|SI)[0-9A-Z]{19}|(BA|EE|KZ|LT|LU|AT)[0-9A-Z]{2}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}|(BA|EE|KZ|LT|LU|AT)[0-9A-Z]{20}|(HR|LI|LV|CH)[0-9A-Z]{2}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{1}|(HR|LI|LV|CH)[0-9A-Z]{21}|(BG|DE|IE|ME|RS|GB)[0-9A-Z]{2}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{2}|(BG|DE|IE|ME|RS|GB)[0-9A-Z]{22}|(GI|IL)[0-9A-Z]{2}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{3}|(GI|IL)[0-9A-Z]{23}|(AD|CZ|SA|RO|SK|ES|SE|TN)[0-9A-Z]{2}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}|(AD|CZ|SA|RO|SK|ES|SE|TN)[0-9A-Z]{24}|(PT)[0-9A-Z]{2}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{1}|(PT)[0-9A-Z]{25}|(IS|TR)[0-9A-Z]{2}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{2}|(IS|TR)[0-9A-Z]{26}|(FR|GR|IT|MC|SM)[0-9A-Z]{2}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{3}|(FR|GR|IT|MC|SM)[0-9A-Z]{27}|(AL|CY|HU|LB|PL)[0-9A-Z]{2}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}|(AL|CY|HU|LB|PL)[0-9A-Z]{28}|(MU)[0-9A-Z]{2}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{2}|(MU)[0-9A-Z]{30}|(MT)[0-9A-Z]{2}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{4}[ ][0-9A-Z]{3}|(MT)[0-9A-Z]{31})$;./attacks-gadget/internetSources-between_44_1.txt;14.04;0.06;0.02;0.56;0.28;0.66;0.01;0.28;5.57;0.02;0.03;0.59;0.45;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"^(([+]31|0031)\s\(0\)([0-9]{9})|([+]31|0031)\s0([0-9]{9})|0([0-9]{9}))$";./attacks-gadget/internetSources-between_45_1.txt;0.18;0.03;0.02;0.53;0.3;0.53;0.0;0.3;1.73;0.03;0.02;0.6;0.45;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
