pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
""" {10000}""";./attacks-gadget/missing_60_1.txt;TO;0.03;ERR;41.14;1.02;2.18;0.21;0.25;4.29;0.2;0.02;0.08;0.51;1.15;TO;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;49.0098
"""([a-zA-Z0-9]{0,4000})""";./attacks-gadget/missing_61_1.txt;54.22;0.55;ERR;3.31;10.92;2.44;0.25;0.25;1.4;0.51;0.03;1.05;2.56;1.46;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;49.0245
"""<dxh ....>"""", ""str=`aaa<div>{{4567}}aaa</div>bbb{{12345}}amrambler`"", """"{{12345}}"""", """"{{4567}}""";./attacks-gadget/missing_62_1.txt;TO;ERR;ERR;122.44;0.7;2.37;0.0;0.29;4.59;0.28;ERR;0.1;0.08;1.19;TO;ERR;ERR;0;0;0;ERR;ERR;0;0;ERR;0;;0;49.20575
"""[ACGT]{1,12000}(AAC)[AG]{2,5}[ACGT]{2,5}(CTGTGTA)"""", ""paste(""(CTAAA)[AC]{5,100}(TTTGGG)"", rule_1, ""(CTT)[AG]{10,5000}"", rule_2, sep=""""";./attacks-gadget/missing_63_1.txt;ERR;ERR;ERR;ERR;ERR;ERR;0.0;0.29;0.2;0.16;ERR;0.02;0.07;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0;ERR;0;;ERR;42.011
"\<![ \t\x20\t]*--[\S\s]{400,6000}--[ \t\x20\t]*\>";./attacks-gadget/stackoverflow-RN_16_1.txt;128.63;9.36;ERR;3.41;6.26;2.48;0.0;0.29;1.61;0.79;0.21;0.47;2.36;1.16;0;0;ERR;0;0;0;ERR;ERR;0;0;0;0;0;0;49.94875
".{30000}.{10000}"", "".{40000}";./attacks-gadget/stackoverflow-above_00_1.txt;ERR;ERR;ERR;TO;11.12;3.76;0.04;0.26;0.18;0.16;ERR;0.1;0.76;TO;ERR;ERR;ERR;TO;0;0;ERR;ERR;0;0;ERR;0;0;TO;49.784
d.{40000}o.{40000}g.{40000}s;./attacks-gadget/stackoverflow-above_00_4.txt;ERR;ERR;ERR;TO;10.65;2.64;0.04;0.3;TO;0.19;ERR;0.06;0.5;TO;ERR;ERR;ERR;TO;0;0;ERR;ERR;TO;0;ERR;0;0;TO;49.50495
<.{1,10000}>;./attacks-gadget/stackoverflow-above_01_3.txt;TO;9.3;ERR;1.51;TO;2.88;0.02;0.3;TO;TO;0.03;TO;TO;TO;TO;0;ERR;0;TO;0;ERR;ERR;TO;TO;0;TO;TO;TO;49.50495
"[999]"", ""{242424} from X [100] bulks, linked to {57575757} from Y for [500] units"", ""{12345}";./attacks-gadget/stackoverflow-above_00_3.txt;ERR;ERR;ERR;191.82;0.34;1.58;0.01;0.25;0.08;0.04;ERR;0.04;0.46;0.81;ERR;ERR;ERR;0;0;0;ERR;ERR;ERR;0;ERR;0;0;0;49.2832
"regex("".{40000}"")"", ""regex_match("""", regex("".{40000}""))";./attacks-gadget/stackoverflow-above_00_5.txt;ERR;ERR;ERR;TO;0.44;2.2;0.02;0.25;1.03;0.06;ERR;0.11;0.7;2.08;ERR;ERR;ERR;TO;0;0;ERR;ERR;0;0;ERR;0;0;0;49.588575
s = {6} {56780} {Sample String};./attacks-gadget/stackoverflow-above_00_6.txt;ERR;ERR;ERR;TO;0.7;2.21;0.0;0.32;4.13;0.04;ERR;0.06;0.06;1.17;ERR;ERR;ERR;TO;0;0;ERR;ERR;0;0;ERR;0;;0;49.8004
"set promptInfo [oBOTANDROID2 launchVapiEiCmd getinfo]"", ""VAPIEI Cmd Rcvd: {state inservice} {type dmc} {description {BOTSP2,10.77.41.154,tcp(dmc)}} {lines 2} {calls 2} {streams 4} {{primary cm} 10.77.41.11} {{backup cm} } {status {}} {id dmc2} {userid } {{last error} {}} {{delay offer} false} {{Voice Mail client status} {inactive}} {{primary cti} {}} {{backup cti} {}} {{current cti} {}} {{preferred mode} {voip}} {{call type} {voip}} {{domain} {}} {{ixenabled} {no}} {{esrstvernego} {null}} {{ipv4address} {10.77.41.154}} {{ipv6address} {}} {{deploymentmodel} {on-premise}} {{login type} {uc-directory}} {centraluds {}} {{sip port} {42708}} {privacy disabled}";./attacks-gadget/stackoverflow-above_01_1.txt;ERR;ERR;ERR;166.46;0.4;30.8;0.0;0.3;1.18;0.09;ERR;0.06;0.07;1.98;ERR;ERR;ERR;0;0;0;ERR;ERR;0;0;ERR;0;;0;49.37475
"\w[^\.!\?]{400,600}[\.!\?]"", ""{400,600}"", ""."", ""\w"", "".*"", "".{400,600}"", ""[^\.!\?]"", ""?";./attacks-gadget/stackoverflow-above_06_4.txt;2.0;0.14;TO;7.73;TO;3.29;TO;TO;1.49;4.2;0.46;37.45;19.3;45.23;0;0;TO;0;TO;0;TO;TO;0;0;0;0;0;0;49.644088
"[ftp:\/\/www\/.-https:\/\/-http:\/\/][a-zA-Z0-9u00a1-uffff0]{1,3}[^ ]{1,1000}";./attacks-gadget/stackoverflow-above_00_2.txt;97.96;1.36;4.4;3.66;15.79;3.94;0.0;13.76;164.0;TO;8.52;8.86;5.27;3.94;8823450;8823450;8823450;8823450;8823450;8823450;ERR;8823450;11764600;TO;11764600;11764600;8823450;8823450;49.99955
(ABCHEHG)[HGE]{5,1230}(EEJOPK)[DM]{5};./attacks-gadget/stackoverflow-above_00_4.txt;TO;0.79;ERR;2.1;7.65;2.6;0.21;0.29;2.5;2.34;0.05;1.34;2.21;1.18;TO;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;49.61528
"(ABCHEHG)[HGHE]{5,1230}(EEJOPK)[DM]{5}"", ""(ABCHEHG)[HGHE]{5,1230}(EEJOPK)[DM]{5}[ACF]{1,1000}(BBBA)[CU]{2,5}";./attacks-gadget/stackoverflow-above_00_5.txt;TO;0.67;ERR;3.34;11.37;3.25;5.04;0.3;4.41;2.86;1.16;1.9;3.39;1.48;TO;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;49.054292
